Punch;//name---------------------------------------
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not Thirsty
					1.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					3.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					3.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: SIP soft drink" Script
					804.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Illusion - vitamin beverage;//name---------------------------------------[FOOD]
	805;//identifier
	0;//item class
	1.000000;//weight
	Illusion is a tantalizing beverage that dazzles the senses with its vibrant hue and exotic citrus blend, leaving you wondering if it's truly fruit or pure fantasy. It has high vitamin count. (250ml) (Healthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	soda_can_soft_2.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the vitamin drink out of the inventory...;//event text
			I'm not thirsty.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not Thirsty
					1.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					3.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					3.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: ILLUSION ORANGE JUICE" Script
					805.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Assassin - energy drink;//name---------------------------------------[FOOD]
	806;//identifier
	0;//item class
	1.000000;//weight
	Assassin is the energy drink that ambushes fatigue with a potent blend of caffeine, covertly energizing your senses before you even realize it. Perfect for those who need to ninja their way through the day, one silent, powerful sip at a time. (250ml) (Energizing) (Unhealthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	soda_can_soft_3.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the energy drink out of the inventory...;//event text
			I'm not thirsty.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not Thirsty
					1.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					3.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					3.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: ASSASIN ENERGY DRINK" Script
					806.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Xhaustion Xterminator - energy drink;//name---------------------------------------[FOOD]
	807;//identifier
	0;//item class
	1.000000;//weight
	Because who has time for sleep when you can obliterate tiredness with one epic can. What a silly name for a drink... (500ml) (Energizing) (Unhealthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	soda_can_soft_4.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the energy drink out of the inventory...;//event text
			I'm not thirsty.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not Thirsty
					1.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					4.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					4.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: Xhaustion Xterminator ENERGY DRINK" Script
					807.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Apple juice;//name---------------------------------------[FOOD]
	808;//identifier
	0;//item class
	1.000000;//weight
	Refreshing and naturally sweet beverage. (500ml) (Healthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	juice_apple.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the juice out of the inventory...;//event text
			I'm not thirsty.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not Thirsty
					1.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					3.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					3.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: APPLE JJUICE" Script
					808.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Orange juice;//name---------------------------------------[FOOD]
	809;//identifier
	0;//item class
	1.000000;//weight
	Refreshing and naturally sweet beverage. (500ml) (Healthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	juice_orange.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the juice out of the inventory...;//event text
			I'm not thirsty.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not Thirsty
					1.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					3.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					3.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: ORANGE JUICE" Script
					809.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Chocolate bar;//name---------------------------------------[FOOD]
	850;//identifier
	0;//item class
	1.000000;//weight
	TODO (600kcal) (Unhealthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	candy_chocolate.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the chocolate out of the inventory...;//event text
			I'm not hungry.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not hungry
					5.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					3.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					3.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: CHOCOLATE BAR" Script
					850.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Protein bar;//name---------------------------------------[FOOD]
	851;//identifier
	0;//item class
	1.000000;//weight
	TODO (250kcal) (Healthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	candy_protein_bar.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the protein bar out of the inventory...;//event text
			I'm not hungry.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not hungry
					5.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					3.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					3.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: PROTEIN BAR" Script
					851.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Energy bar;//name---------------------------------------[FOOD]
	852;//identifier
	0;//item class
	1.000000;//weight
	TODO (200kcal) (Energizing) (Unhealthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	candy_energy_bar.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the energy bar out of the inventory...;//event text
			I'm not hungry.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not hungry
					5.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					3.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					3.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: ENERGY BAR" Script
					852.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Salty chips;//name---------------------------------------[FOOD]
	853;//identifier
	0;//item class
	1.000000;//weight
	TODO (250kcal) (Unhealthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	chips_2.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the chips out of the inventory...;//event text
			I'm not hungry.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not hungry
					5.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					4.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					4.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: SALTY CHIPS" Script
					853.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Spicy chips;//name---------------------------------------[FOOD]
	854;//identifier
	0;//item class
	1.000000;//weight
	TODO (250kcal) (Unhealthy);//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	chips_1.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		You take the chips out of the inventory...;//event text
			I'm not hungry.;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
				43;//condition------------------------------If Not hungry
					5.000000;//condition parameter0
					100.000000;//condition parameter1
				43;//condition------------------------------If Player's stomach is not full'
					3.000000;//condition parameter0
					100.000000;//condition parameter1
			end_conditions;
			begin_effects;
				4;//effect number------------------------------Set Activity
					5.000000;//parameter1
					0.00000;//parameter2
					2.000000;//parameter3
					0.000000;//parameter4
				11;//effect number------------------------------Set Max Activity
					2.000000;//parameter1
					5.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
					1002.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				19;//effect number--------------------------------Drop "Use Item: SPICY CHIPS" Script
					854.000000;//parameter1
					0.100000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
Punch;//name--------------------------------------- **WEAPONS**
	900;//identifier
	0;//item class
	0.000000;//weight
	No description;//short description
	none;//first pick up text
	0.300000;//size on map
	1;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	fist.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	1;//show help text for conditions
	begin_wield_slots;
		0;
	end_wield_slots;
	begin_effects_block;
	none;//event text
		none;//event failure text
			use.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
			end_conditions;
			begin_effects;
				9;//effect number---------------Attack (Puch)
					800.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
(ACTION) Use Object;//name--------------------------------------- **HELPERS**
	1000;//identifier
	1;//item class
	0.000000;//weight
	Face a water source and press (K)-key when outside of your inventory to make an attempt at drinking water.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	qorb.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		Trying to use something in front of you...;//event text
		You are already doing something.;//event failure text
		click1.wav;//sound, none for nothing
		0;//vanishes after event, 0=no, 1=yes
		-1;//use key
		E;//quick key
		Use object in front of you;//Key description
		begin_conditions;		
			5;//condition number----------------------ACTIVITY MUST BE BELOW 0
				2.000000;//condition parameter0
				0.000000;//condition parameter1
		end_conditions;
		begin_effects;
			11;//effect number------------------------------Set Max Activity
				2.000000;//parameter1
				4.000000;//parameter2
				0.000000;//parameter3
				0.000000;//parameter4
			4;//effect number------------------------------Set Activity
				4.000000;//parameter1
				0.00000;//parameter2
				2.000000;//parameter3
				0.000000;//parameter4
			59;//effect number--------------------------------Use (HELPER) Item Consumption Item Script
				1002.000000;//parameter1
				0.000000;//parameter2
				0.000000;//parameter3
				0.000000;//parameter4
			19;//effect number--------------------------------Drop "(SCRIPT) Use Item: (HELPER) USE OBJECT" Plot object
				802.000000;//parameter1
				0.100000;//parameter2
				0.000000;//parameter3
				0.000000;//parameter4
		end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
(ACTION) Pick up creatures;//name--------------------------------------- 
  1001;//identifier 
  0;//item class 
  0.000000;//weight 
  Picks up things;//short description 
  none;//first pick up text 
  0.400000;//size on map 
  0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner 
  20;//particle to shown on radar 
  0;//visible in inventory 0=no (can only be used via quick keys), 1=yes 
  qorb.png;//texture name 
  -1;//wielded script,-1=nothing, only applicable for wieldable items 
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded 
  1;//show help text for conditions 
  begin_wield_slots; 
  end_wield_slots; 
  begin_effects_block; 
  Picked up.;//event text 
    none;//event failure text 
    use.wav;//sound, none for nothing 
    0;//vanishes after event, 0=no, 1=yes 
    -1;//use key 
    V;//quick key
		;//Key description 
    begin_conditions; 
    end_conditions; 
    begin_effects; 
      48;//effect number--------------------------------------- PICK UP CREATURE
		1.000000;//parameter1 
		1.000000;//parameter2 
		50.000000;//parameter3 
		-2.000000;//parameter4 
    end_effects; 
  end_effects_block; 
  begin_combinations; 
  end_combinations;
(SCRIPT) Item Consumption Script;//name---------------------------------------
	1002;//identifier
	10;//item class
	0.000000;//weight
	none;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	0;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	antigrav.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		none;//event text
			none;//event failure text
			none;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
			end_conditions;
			begin_effects;
				39;//effect number-----------------------Show Activity Bar
					2.000000;//parameter1
					1.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				62;//effect number------------------------------Close Inventory
					0.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				58;//effect number--------------------------------Disallow Usage Of Inventory
					0.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				60;//effect number--------------------------------Disallow Dropping Items
					0.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				16;//effect number------------------------------Give (HELPER) Player Is Busy //?NEEDED
					1003.000000;//parameter1
					1.00000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
(HELPER) Player Is Busy;//name---------------------------------------
  1003;//identifier
  0;//item class
  0.000000;//weight
  A specialised battery cell for TS Mark II Makeshift stun gun gun. Sadly, the battery cannot be recharged once depleted.;//short description
  none;//first pick up text
  0.200000;//size on map
  1;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
  20;//particle to shown on radar
  0;//visible in inventory 0=no (can only be used via quick keys), 1=yes
  qpmystery.png;//texture name
  -1;//wielded script,-1=nothing, only applicable for wieldable items
  -1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
  1;//show help text for conditions
  begin_wield_slots;
  end_wield_slots;
  begin_effects_block;
  none;//event text
    none;//event failure text
    beep.wav;//sound, none for nothing
    0;vanishes after event, 0=no, 1=yes
    U;//use key
    -1;//quick key
		;//Key description
    begin_conditions;
    end_conditions;
    begin_effects;
    end_effects;
  end_effects_block;
  begin_combinations;
  end_combinations;
(ACTION) Fill bottle from water source;//name--------------------------------------- **HELPERS**
	1004;//identifier
	1;//item class
	0.000000;//weight
	This item is used to fill bottles from water sources.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	qorb.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		none;//event text
		none;//event failure text
		none;//sound, none for nothing
		0;//vanishes after event, 0=no, 1=yes
		-1;//use key
		-1;//quick key
		;//Key description
		begin_conditions;		
		end_conditions;
		begin_effects;
			24;//effect number ------------Fire "Drink Water from source" weapon
				1001.000000;//parameter1
				2.000000;//parameter2
				0.000000;//parameter3
				0.000000;//parameter4
		end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
(ACTION) Open inventory;//name---------------------------------------**[HELPERS]**
	1005;//identifier
	0;//item class
	0.000000;//weight
	This item is used to open inventory with shortcuts.;//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	qorb.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
		none;//event text
		none;//event failure text
		inventory.wav;//sound, none for nothing
		0;//vanishes after event, 0=no, 1=yes
		-1;//use key
		X;//quick key
		;//Key description
			begin_conditions;
			end_conditions;
			begin_effects;
				62;//effect number------------------------------OPEN INVENTORY
					1.000000;//parameter1
					0.00000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
		none;//event text
		none;//event failure text
		inventory.wav;//sound, none for nothing
		0;//vanishes after event, 0=no, 1=yes
		-1;//use key
		I;//quick key
		;//Key description
			begin_conditions;
			end_conditions;
			begin_effects;
				62;//effect number------------------------------OPEN INVENTORY
					1.000000;//parameter1
					0.00000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	end_combinations;
(ACTION) Go to sleep;//name---------------------------------------**[HELPERS]**
	1006;//identifier
	0;//item class
	0.000000;//weight
	This item is used to go to sleep.;//short description
	none;//first pick up text
	0.300000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
